Bin 	PtLow 	PtUpp 	AxE [%%] 	AxE_err [%%] 
1	0.000	0.040	4.177		0.134
2	0.040	0.080	4.350		0.080
3	0.080	0.120	4.281		0.062
4	0.120	0.160	4.288		0.053
5	0.160	0.200	4.131		0.047
6	0.200	0.240	4.000		0.044
7	0.240	0.280	3.929		0.041
8	0.280	0.320	3.745		0.039
9	0.320	0.360	3.497		0.037
10	0.360	0.400	3.288		0.036
11	0.400	0.440	3.082		0.036
12	0.440	0.480	2.896		0.035
13	0.480	0.520	2.630		0.035
14	0.520	0.560	2.597		0.036
15	0.560	0.600	2.376		0.036
16	0.600	0.680	2.245		0.028
17	0.680	0.760	2.059		0.031
18	0.760	0.840	1.868		0.035
19	0.840	0.920	1.821		0.044
20	0.920	1.000	1.577		0.052
21	1.000	1.150	1.488		0.055
22	1.150	1.300	1.220		0.091
23	1.300	1.450	0.943		0.163
24	1.450	1.600	0.808		0.331
