Numbers of events:
Bin 	Total 	Fired 	ZNA 	ZNC 	OnlyZNA	OnlyZNC	Both 	None
1 	128 	79 	50 	47 	32 	29 	18 	49 
2 	129 	86 	50 	53 	33 	36 	17 	43 
3 	147 	107 	65 	57 	50 	42 	15 	40 
4 	165 	136 	75 	79 	57 	61 	18 	29 
5 	153 	123 	68 	73 	50 	55 	18 	30 
sum 	722 	531 	308 	309 	222 	223 	86 	191 


Percentages:
Bin 	Both[%]	err 	ZNA[%]	err 	ZNC[%]	err 	None[%]	err 
1 	14.1 	3.1 	25.0 	3.8 	22.7 	3.7 	38.3 	4.3 
2 	13.2 	3.0 	25.6 	3.8 	27.9 	3.9 	33.3 	4.1 
3 	10.2 	2.5 	34.0 	3.9 	28.6 	3.7 	27.2 	3.6 
4 	10.9 	2.4 	34.5 	3.7 	37.0 	3.7 	17.6 	3.0 
5 	11.8 	2.6 	32.7 	3.8 	35.9 	3.8 	19.6 	3.2 
