No. of events:
Bin 	total 	fired 	fZNA 	fZNC 	0n0n	Xn0n	0nXn	XnXn
1 	128 	79 	50 	47 	49 	32 	29 	18 
2 	129 	86 	50 	53 	43 	33 	36 	17 
3 	147 	107 	65 	57 	40 	50 	42 	15 
4 	165 	136 	75 	79 	29 	57 	61 	18 
5 	153 	123 	68 	73 	30 	50 	55 	18 
sum 	722 	531 	308 	309 	222 	223 	86 	191 


Percentages (all events):
Bin 	0n0n[%]	err 	Xn0n[%]	err 	0nXn[%]	err 	XnXn[%]	err 
1 	38.3 	4.3 	25.0 	3.8 	22.7 	3.7 	14.1 	3.1 
2 	33.3 	4.1 	25.6 	3.8 	27.9 	3.9 	13.2 	3.0 
3 	27.2 	3.6 	34.0 	3.9 	28.6 	3.7 	10.2 	2.5 
4 	17.6 	3.0 	34.5 	3.7 	37.0 	3.7 	10.9 	2.4 
5 	19.6 	3.2 	32.7 	3.8 	35.9 	3.8 	11.8 	2.6 
