Percentages (J/psi events):
Bin 	0n0n[%]	err 	Xn0n[%]	err 	0nXn[%]	err 	XnXn[%]	err 
1 	29.8 	7.3 	25.6 	6.2 	27.6 	6.3 	17.0 	4.7 
2 	28.1 	6.5 	28.5 	6.3 	31.3 	6.6 	12.1 	3.8 
3 	21.9 	5.8 	33.1 	7.1 	32.8 	6.9 	12.3 	3.8 
4 	5.3 	3.8 	40.2 	8.1 	43.2 	8.4 	11.2 	3.9 
5 	4.7 	4.0 	35.9 	7.8 	44.7 	8.8 	14.6 	4.5 


Percentages (bkgr events):
Bin 	0n0n[%]	err 	Xn0n[%]	err 	0nXn[%]	err 	XnXn[%]	err 
1 	57.1 	6.5 	24.0 	3.9 	14.6 	2.9 	4.3 	1.2 
2 	50.2 	6.5 	26.4 	4.4 	15.9 	2.9 	7.5 	1.8 
3 	47.4 	5.1 	28.8 	3.8 	19.7 	3.0 	4.2 	1.1 
4 	43.0 	3.7 	23.6 	2.6 	22.7 	2.6 	10.7 	1.7 
5 	44.6 	3.7 	24.7 	2.6 	18.7 	2.4 	12.0 	1.8 
