++++ EVENT no. 1 ++++
 i = 0	mother = -1	pdg = 11	name = e-	daughter = 58	eta = 1.30598	p_x = -0.33095	p_y = -1.32396	p_z = 2.33389	m = 0.00051
 i = 1	mother = -1	pdg = -11	name = e+	daughter = 2	eta = 0.30995	p_x = 0.34161	p_y = 1.34147	p_z = 0.43596	m = 0.00051
 i = 2	mother = 1	pdg = 11	name = e-	daughter = -1	eta = -0.10123	p_x = -0.00016	p_y = 0.00008	p_z = -0.00002	m = 0.00051
 i = 3	mother = 1	pdg = 11	name = e-	daughter = -1	eta = 1.79476	p_x = 0.00007	p_y = 0.00030	p_z = 0.00089	m = 0.00051
 i = 4	mother = 1	pdg = 22	name = gamma	daughter = 57	eta = 0.31548	p_x = 0.00001	p_y = 0.00001	p_z = 0.00000	m = 0.00000
 i = 5	mother = 1	pdg = 22	name = gamma	daughter = 6	eta = 0.31595	p_x = 0.35913	p_y = 0.20600	p_z = 0.13300	m = 0.00000
 i = 6	mother = 5	pdg = -11	name = e+	daughter = 29	eta = 0.32909	p_x = 0.04676	p_y = 0.02586	p_z = 0.01791	m = 0.00051
 i = 7	mother = 5	pdg = 11	name = e-	daughter = 8	eta = 0.31399	p_x = 0.31235	p_y = 0.18013	p_z = 0.11509	m = 0.00051
 i = 8	mother = 7	pdg = 50000050	name = XXX	daughter = -1	eta = 0.07298	p_x = 0.00000	p_y = 0.00000	p_z = 0.00000	m = 0.00000
 i = 9	mother = 7	pdg = 50000050	name = XXX	daughter = -1	eta = -0.36839	p_x = 0.00000	p_y = 0.00000	p_z = -0.00000	m = 0.00000
 i = 10	mother = 7	pdg = 50000050	name = XXX	daughter = -1	eta = 0.77332	p_x = 0.00000	p_y = 0.00000	p_z = 0.00000	m = 0.00000
 i = 11	mother = 7	pdg = 50000050	name = XXX	daughter = -1	eta = 1.14963	p_x = 0.00000	p_y = 0.00000	p_z = 0.00000	m = 0.00000
 i = 12	mother = 7	pdg = 50000050	name = XXX	daughter = -1	eta = 1.16239	p_x = 0.00000	p_y = 0.00000	p_z = 0.00000	m = 0.00000
 i = 13	mother = 7	pdg = 50000050	name = XXX	daughter = -1	eta = 0.75425	p_x = 0.00000	p_y = 0.00000	p_z = 0.00000	m = 0.00000
 i = 14	mother = 7	pdg = 50000050	name = XXX	daughter = -1	eta = -0.19275	p_x = 0.00000	p_y = 0.00000	p_z = -0.00000	m = 0.00000
 i = 15	mother = 7	pdg = 50000050	name = XXX	daughter = -1	eta = 1.19114	p_x = 0.00000	p_y = 0.00000	p_z = 0.00000	m = 0.00000
 i = 16	mother = 7	pdg = 50000050	name = XXX	daughter = -1	eta = 0.15644	p_x = 0.00000	p_y = 0.00000	p_z = 0.00000	m = 0.00000
 i = 17	mother = 7	pdg = 50000050	name = XXX	daughter = -1	eta = -0.16984	p_x = 0.00000	p_y = 0.00000	p_z = -0.00000	m = 0.00000
 i = 18	mother = 7	pdg = 50000050	name = XXX	daughter = -1	eta = 0.95371	p_x = 0.00000	p_y = 0.00000	p_z = 0.00000	m = 0.00000
 i = 19	mother = 7	pdg = 50000050	name = XXX	daughter = -1	eta = -0.38310	p_x = 0.00000	p_y = 0.00000	p_z = -0.00000	m = 0.00000
 i = 20	mother = 7	pdg = 50000050	name = XXX	daughter = -1	eta = -0.39570	p_x = 0.00000	p_y = 0.00000	p_z = -0.00000	m = 0.00000
 i = 21	mother = 7	pdg = 50000050	name = XXX	daughter = -1	eta = 0.46272	p_x = 0.00000	p_y = 0.00000	p_z = 0.00000	m = 0.00000
 i = 22	mother = 7	pdg = 50000050	name = XXX	daughter = -1	eta = 1.19214	p_x = 0.00000	p_y = 0.00000	p_z = 0.00000	m = 0.00000
