++++ EVENT no. 1 ++++
 i = 0	mother = -1	pdg = 13	name = mu-	daughter = 4	eta = 0.89264	p_x = 0.80840	p_y = 1.06405	p_z = 1.35769	m = 0.10566
 i = 1	mother = -1	pdg = -13	name = mu+	daughter = 2	eta = 0.20707	p_x = -0.79083	p_y = -1.08378	p_z = 0.27980	m = 0.10566
 i = 2	mother = 1	pdg = 11	name = e-	daughter = -1	eta = 0.11430	p_x = 0.00016	p_y = -0.00020	p_z = 0.00003	m = 0.00051
 i = 3	mother = 1	pdg = -11	name = e+	daughter = -1	eta = 1.07254	p_x = 0.01084	p_y = -0.02496	p_z = 0.03511	m = 0.00051
 i = 4	mother = 0	pdg = 11	name = e-	daughter = -1	eta = 1.11087	p_x = -0.00002	p_y = -0.00013	p_z = 0.00018	m = 0.00051
 i = 5	mother = 0	pdg = 11	name = e-	daughter = -1	eta = 1.22678	p_x = -0.00013	p_y = -0.00008	p_z = 0.00023	m = 0.00051
 i = 6	mother = 0	pdg = 11	name = e-	daughter = -1	eta = -0.22163	p_x = 0.00004	p_y = 0.00053	p_z = -0.00012	m = 0.00051
 i = 7	mother = 0	pdg = 11	name = e-	daughter = 11	eta = 0.75513	p_x = 0.00313	p_y = 0.00149	p_z = 0.00287	m = 0.00051
 i = 8	mother = 0	pdg = 11	name = e-	daughter = -1	eta = 1.34001	p_x = -0.00017	p_y = -0.00009	p_z = 0.00035	m = 0.00051
 i = 9	mother = 0	pdg = 11	name = e-	daughter = -1	eta = 1.00900	p_x = -0.00001	p_y = -0.00007	p_z = 0.00008	m = 0.00051
 i = 10	mother = 0	pdg = 11	name = e-	daughter = -1	eta = 0.04779	p_x = 0.04149	p_y = -0.00021	p_z = 0.00198	m = 0.00051
 i = 11	mother = 7	pdg = 11	name = e-	daughter = 14	eta = 0.07652	p_x = 0.00021	p_y = 0.00028	p_z = 0.00003	m = 0.00051
 i = 12	mother = 7	pdg = 11	name = e-	daughter = 13	eta = -0.22042	p_x = 0.00058	p_y = -0.00032	p_z = -0.00015	m = 0.00051
 i = 13	mother = 12	pdg = 11	name = e-	daughter = -1	eta = 1.50893	p_x = 0.00005	p_y = 0.00001	p_z = 0.00011	m = 0.00051
 i = 14	mother = 11	pdg = 11	name = e-	daughter = -1	eta = 0.09647	p_x = -0.00006	p_y = 0.00013	p_z = 0.00001	m = 0.00051
++++ EVENT no. 2 ++++
 i = 0	mother = -1	pdg = -13	name = mu+	daughter = 6	eta = -0.08774	p_x = 0.76800	p_y = 1.08256	p_z = -0.11660	m = 0.10566
 i = 1	mother = -1	pdg = 13	name = mu-	daughter = 2	eta = 0.31845	p_x = -0.75595	p_y = -1.08038	p_z = 0.42704	m = 0.10566
 i = 2	mother = 1	pdg = 11	name = e-	daughter = -1	eta = -0.64245	p_x = -0.00009	p_y = 0.00001	p_z = -0.00007	m = 0.00051
 i = 3	mother = 1	pdg = 11	name = e-	daughter = -1	eta = 1.12044	p_x = -0.00008	p_y = 0.00005	p_z = 0.00013	m = 0.00051
 i = 4	mother = 1	pdg = 11	name = e-	daughter = -1	eta = 1.65919	p_x = 0.00005	p_y = 0.00001	p_z = 0.00012	m = 0.00051
 i = 5	mother = 1	pdg = 11	name = e-	daughter = -1	eta = -0.56067	p_x = -0.01157	p_y = 0.03228	p_z = -0.02025	m = 0.00051
 i = 6	mother = 0	pdg = 11	name = e-	daughter = -1	eta = 1.94749	p_x = 0.00004	p_y = 0.00003	p_z = 0.00018	m = 0.00051
 i = 7	mother = 0	pdg = -11	name = e+	daughter = -1	eta = -0.86549	p_x = 0.01121	p_y = 0.02975	p_z = -0.03108	m = 0.00051
++++ EVENT no. 3 ++++
 i = 0	mother = -1	pdg = 13	name = mu-	daughter = 11	eta = -0.25678	p_x = -0.60384	p_y = -1.62909	p_z = -0.45104	m = 0.10566
 i = 1	mother = -1	pdg = -13	name = mu+	daughter = 2	eta = -0.03874	p_x = 0.59626	p_y = 1.61368	p_z = -0.06666	m = 0.10566
 i = 2	mother = 1	pdg = 11	name = e-	daughter = -1	eta = 0.37349	p_x = 0.00039	p_y = 0.00002	p_z = 0.00015	m = 0.00051
 i = 3	mother = 1	pdg = 11	name = e-	daughter = -1	eta = -0.59934	p_x = 0.00016	p_y = -0.00003	p_z = -0.00010	m = 0.00051
 i = 4	mother = 1	pdg = 11	name = e-	daughter = -1	eta = 1.43430	p_x = 0.00011	p_y = 0.00003	p_z = 0.00023	m = 0.00051
 i = 5	mother = 1	pdg = 11	name = e-	daughter = -1	eta = -1.11830	p_x = 0.00012	p_y = -0.00002	p_z = -0.00016	m = 0.00051
 i = 6	mother = 1	pdg = 11	name = e-	daughter = -1	eta = 1.67638	p_x = -0.00003	p_y = 0.00004	p_z = 0.00013	m = 0.00051
 i = 7	mother = 1	pdg = 11	name = e-	daughter = -1	eta = 0.10374	p_x = -0.00012	p_y = 0.00013	p_z = 0.00002	m = 0.00051
 i = 8	mother = 1	pdg = 11	name = e-	daughter = -1	eta = -0.72117	p_x = 0.00015	p_y = -0.00007	p_z = -0.00013	m = 0.00051
 i = 9	mother = 1	pdg = 11	name = e-	daughter = -1	eta = 2.24833	p_x = 0.00003	p_y = 0.00000	p_z = 0.00012	m = 0.00051
 i = 10	mother = 1	pdg = -11	name = e+	daughter = -1	eta = 0.64048	p_x = -0.00725	p_y = 0.01063	p_z = 0.00881	m = 0.00051
